epoch_type,n_start,n_end,length,fracture_threshold_1e6,cluster_window,cluster_min_count
FRACTURE_CLUSTER,2,841,840,200000,50,10
FRACTURE_CLUSTER,850,1291,442,200000,50,10
FRACTURE_CLUSTER,1294,1445,152,200000,50,10
FRACTURE_CLUSTER,1468,1577,110,200000,50,10
FRACTURE_CLUSTER,1602,2005,404,200000,50,10
FRACTURE_CLUSTER,2008,2297,290,200000,50,10
FRACTURE_CLUSTER,2314,2375,62,200000,50,10
FRACTURE_CLUSTER,2440,2647,208,200000,50,10
FRACTURE_CLUSTER,2724,2791,68,200000,50,10
FRACTURE_CLUSTER,2824,3325,502,200000,50,10
FRACTURE_CLUSTER,3354,3449,96,200000,50,10
FRACTURE_CLUSTER,3550,3635,86,200000,50,10
FRACTURE_CLUSTER,3700,3829,130,200000,50,10
FRACTURE_CLUSTER,3924,4009,86,200000,50,10
FRACTURE_CLUSTER,4134,4229,96,200000,50,10
FRACTURE_CLUSTER,4282,4477,196,200000,50,10
FRACTURE_CLUSTER,4524,4625,102,200000,50,10
FRACTURE_CLUSTER,4660,4757,98,200000,50,10
FRACTURE_CLUSTER,4798,4915,118,200000,50,10
FRACTURE_CLUSTER,5014,5077,64,200000,50,10
FRACTURE_CLUSTER,5094,5407,314,200000,50,10
FRACTURE_CLUSTER,5512,5657,146,200000,50,10
FRACTURE_CLUSTER,5728,5815,88,200000,50,10
FRACTURE_CLUSTER,5862,6011,150,200000,50,10
FRACTURE_CLUSTER,6138,6209,72,200000,50,10
FRACTURE_CLUSTER,6388,6557,170,200000,50,10
FRACTURE_CLUSTER,6618,6671,54,200000,50,10
FRACTURE_CLUSTER,6718,6779,62,200000,50,10
FRACTURE_CLUSTER,6844,6937,94,200000,50,10
FRACTURE_CLUSTER,6988,7037,50,200000,50,10
FRACTURE_CLUSTER,7044,7129,86,200000,50,10
FRACTURE_CLUSTER,7132,7217,86,200000,50,10
FRACTURE_CLUSTER,7242,7327,86,200000,50,10
FRACTURE_CLUSTER,7330,7427,98,200000,50,10
FRACTURE_CLUSTER,7734,7849,116,200000,50,10
FRACTURE_CLUSTER,7942,8051,110,200000,50,10
FRACTURE_CLUSTER,8104,8179,76,200000,50,10
FRACTURE_CLUSTER,8430,8521,92,200000,50,10
FRACTURE_CLUSTER,8602,8659,58,200000,50,10
FRACTURE_CLUSTER,8878,8951,74,200000,50,10
FRACTURE_CLUSTER,9034,9119,86,200000,50,10
FRACTURE_CLUSTER,9130,9215,86,200000,50,10
FRACTURE_CLUSTER,9252,9319,68,200000,50,10
FRACTURE_CLUSTER,9544,9641,98,200000,50,10
FRACTURE_CLUSTER,9682,9731,50,200000,50,10
FRACTURE_CLUSTER,9910,10067,158,200000,50,10
FRACTURE_CLUSTER,10180,10277,98,200000,50,10
FRACTURE_CLUSTER,10362,10411,50,200000,50,10
FRACTURE_CLUSTER,10498,10609,112,200000,50,10
FRACTURE_CLUSTER,10770,10855,86,200000,50,10
FRACTURE_CLUSTER,10912,11069,158,200000,50,10
FRACTURE_CLUSTER,11260,11329,70,200000,50,10
FRACTURE_CLUSTER,11338,11405,68,200000,50,10
FRACTURE_CLUSTER,11532,11687,156,200000,50,10
FRACTURE_CLUSTER,11724,11777,54,200000,50,10
FRACTURE_CLUSTER,11850,11905,56,200000,50,10
FRACTURE_CLUSTER,12120,12175,56,200000,50,10
FRACTURE_CLUSTER,12702,12779,78,200000,50,10
FRACTURE_CLUSTER,12802,12887,86,200000,50,10
FRACTURE_CLUSTER,12982,13069,88,200000,50,10
FRACTURE_CLUSTER,13164,13247,84,200000,50,10
FRACTURE_CLUSTER,13252,13309,58,200000,50,10
FRACTURE_CLUSTER,13540,13637,98,200000,50,10
FRACTURE_CLUSTER,13798,13865,68,200000,50,10
FRACTURE_CLUSTER,13938,13987,50,200000,50,10
FRACTURE_CLUSTER,14080,14177,98,200000,50,10
FRACTURE_CLUSTER,14190,14401,212,200000,50,10
FRACTURE_CLUSTER,14428,14519,92,200000,50,10
FRACTURE_CLUSTER,14670,14729,60,200000,50,10
FRACTURE_CLUSTER,14824,14941,118,200000,50,10
FRACTURE_CLUSTER,15130,15181,52,200000,50,10
FRACTURE_CLUSTER,15202,15257,56,200000,50,10
FRACTURE_CLUSTER,15508,15601,94,200000,50,10
FRACTURE_CLUSTER,15672,15725,54,200000,50,10
FRACTURE_CLUSTER,15808,15887,80,200000,50,10
FRACTURE_CLUSTER,15994,16061,68,200000,50,10
FRACTURE_CLUSTER,16102,16199,98,200000,50,10
FRACTURE_CLUSTER,16228,16319,92,200000,50,10
FRACTURE_CLUSTER,16434,16507,74,200000,50,10
FRACTURE_CLUSTER,16530,16619,90,200000,50,10
FRACTURE_CLUSTER,16750,16837,88,200000,50,10
FRACTURE_CLUSTER,17130,17309,180,200000,50,10
FRACTURE_CLUSTER,17424,17477,54,200000,50,10
FRACTURE_CLUSTER,17508,17561,54,200000,50,10
FRACTURE_CLUSTER,17572,17641,70,200000,50,10
FRACTURE_CLUSTER,17844,17909,66,200000,50,10
FRACTURE_CLUSTER,17974,18047,74,200000,50,10
FRACTURE_CLUSTER,18154,18211,58,200000,50,10
FRACTURE_CLUSTER,18370,18439,70,200000,50,10
FRACTURE_CLUSTER,18462,18545,84,200000,50,10
FRACTURE_CLUSTER,18598,18679,82,200000,50,10
FRACTURE_CLUSTER,18688,18785,98,200000,50,10
FRACTURE_CLUSTER,18798,18905,108,200000,50,10
FRACTURE_CLUSTER,18958,19055,98,200000,50,10
FRACTURE_CLUSTER,19272,19369,98,200000,50,10
FRACTURE_CLUSTER,19618,19685,68,200000,50,10
FRACTURE_CLUSTER,19780,19919,140,200000,50,10
FRACTURE_CLUSTER,20050,20105,56,200000,50,10
FRACTURE_CLUSTER,20190,20269,80,200000,50,10
FRACTURE_CLUSTER,20410,20515,106,200000,50,10
FRACTURE_CLUSTER,20548,20665,118,200000,50,10
FRACTURE_CLUSTER,20782,20879,98,200000,50,10
FRACTURE_CLUSTER,21244,21299,56,200000,50,10
